,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day,Week
95,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Large,2,24,8
96,Arizona,No,Basic,Master/Doctor,Other,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize,2,15,7
97,California,No,Basic,Bachelor,Other,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,16,7
98,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,1,22,3
99,Oregon,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Small,2,25,8
100,California,Yes,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,1,11,2
101,California,Yes,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,31,5
102,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Corporate Auto,Offer3,Call Center,Two-Door Car,Medsize,1,12,2
103,California,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,2,16,7
104,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Web,SUV,Medsize,2,9,6
105,Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Small,1,19,3
106,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,1,4,1
107,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,1,9,1
108,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,1,27,4
109,Oregon,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Offer4,Agent,Four-Door Car,Medsize,2,14,7
110,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Agent,Four-Door Car,Small,2,27,8
111,Other,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Offer2,Web,Four-Door Car,Small,2,12,6
112,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,SUV,Medsize,2,26,8
113,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,20,7
114,Other,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,2,2,5
115,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Agent,SUV,Medsize,2,15,7
116,Oregon,Yes,Extended,High School or Below,Other,M,Suburban,Divorced,Personal Auto,Offer2,Agent,SUV,Medsize,2,18,7
117,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,1,21,3
118,California,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,Offer3,Agent,Two-Door Car,Medsize,1,15,2
119,California,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Medsize,2,5,5
120,Other,No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Offer3,Web,Two-Door Car,Medsize,2,24,8
121,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer1,Call Center,Sports Car,Medsize,1,5,1
122,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer3,Branch,Two-Door Car,Small,1,28,4
123,California,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer3,Web,Luxury SUV,Medsize,1,12,2
124,Other,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,16,7
125,Oregon,No,Premium,College,Employed,M,Suburban,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,1,3,1
126,Oregon,No,Extended,Master/Doctor,Employed,F,Rural,Single,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,2,7,6
127,Arizona,No,Extended,College,Employed,M,Urban,Married,Special Auto,Offer1,Branch,Four-Door Car,Medsize,1,13,2
128,Oregon,Yes,Basic,College,Other,M,Suburban,Divorced,Personal Auto,Offer2,Web,Four-Door Car,Medsize,1,3,1
129,Other,No,Basic,Master/Doctor,Unemployed,F,Rural,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,2,17,7
130,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Sports Car,Medsize,1,21,3
131,Other,No,Basic,Bachelor,Employed,F,Rural,Married,Special Auto,Offer1,Branch,Four-Door Car,Medsize,1,26,4
132,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,1,31,5
133,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,1,2,52
134,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Web,Four-Door Car,Small,2,7,6
135,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,1,26,4
136,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special Auto,Offer1,Branch,Sports Car,Medsize,1,11,2
137,Other,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Small,1,15,2
138,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,2,8,6
139,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special Auto,Offer3,Branch,Four-Door Car,Small,1,11,2
140,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer4,Web,Two-Door Car,Large,1,9,1
141,Arizona,No,Premium,Master/Doctor,Employed,M,Urban,Married,Personal Auto,Offer1,Call Center,SUV,Medsize,2,4,5
142,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Sports Car,Medsize,1,21,3
143,Other,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer3,Agent,SUV,Medsize,2,16,7
144,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Large,2,24,8
145,Other,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Offer4,Web,Four-Door Car,Medsize,1,18,3
146,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Offer1,Call Center,Four-Door Car,Medsize,1,30,4
147,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Call Center,Two-Door Car,Medsize,1,9,1
148,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,2,1,5
149,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate Auto,Offer1,Branch,Four-Door Car,Large,2,28,9
150,Other,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer4,Branch,Four-Door Car,Small,1,31,5
151,Other,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,Sports Car,Medsize,2,17,7
152,Arizona,No,Extended,High School or Below,Other,M,Suburban,Married,Personal Auto,Offer4,Agent,SUV,Medsize,2,12,6
153,Arizona,No,Extended,Bachelor,Other,F,Rural,Married,Personal Auto,Offer1,Branch,SUV,Medsize,2,24,8
154,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,2,1,5
155,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Web,Four-Door Car,Small,2,6,5
156,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,1,23,3
157,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small,1,21,3
158,Arizona,Yes,Basic,College,Other,M,Suburban,Married,Personal Auto,Offer2,Agent,Sports Car,Medsize,1,20,3
159,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer1,Web,Two-Door Car,Large,1,6,1
160,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Offer2,Agent,Two-Door Car,Medsize,2,22,8
161,Other,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer1,Agent,SUV,Medsize,2,27,8
162,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Agent,SUV,Medsize,2,21,8
163,Other,Yes,Basic,Bachelor,Other,F,Suburban,Single,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,29,4
164,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,22,8
165,Oregon,No,Basic,Master/Doctor,Other,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,2,21,8
166,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,1,10,2
167,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,1,18,3
168,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,1,16,2
169,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,6,1
170,California,No,Basic,College,Other,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,1,27,4
171,Oregon,No,Premium,Master/Doctor,Other,F,Urban,Divorced,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,15,2
172,Other,No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,1,9,1
173,Other,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Agent,Four-Door Car,Small,1,28,4
174,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,2,26,8
175,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Call Center,Sports Car,Medsize,1,4,1
176,Other,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer2,Agent,SUV,Medsize,2,1,5
177,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,1,27,4
178,Other,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Web,Two-Door Car,Medsize,2,14,7
179,California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Offer2,Call Center,Sports Car,Small,1,23,3
180,California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,18,7
181,Other,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer3,Branch,Luxury Car,Medsize,1,24,4
182,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Large,2,18,7
183,Other,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer4,Agent,Four-Door Car,Small,1,19,3
184,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,1,4,1
185,California,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal Auto,Offer3,Call Center,SUV,Small,2,7,6
186,California,No,Basic,College,Employed,F,Suburban,Single,Corporate Auto,Offer2,Branch,SUV,Medsize,1,30,4
187,Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Medsize,2,17,7
188,California,No,Extended,Bachelor,Employed,F,Urban,Single,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,1,13,2
189,Oregon,No,Extended,College,Employed,M,Urban,Married,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,2,8,6
190,California,No,Basic,Master/Doctor,Employed,M,Urban,Married,Special Auto,Offer4,Web,SUV,Medsize,1,29,4
191,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special Auto,Offer4,Branch,Two-Door Car,Small,2,5,5
192,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,1,20,3
193,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer4,Agent,Two-Door Car,Small,1,27,4
194,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Branch,Four-Door Car,Small,1,9,1
195,Other,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Small,1,11,2
196,Oregon,No,Premium,High School or Below,Employed,M,Suburban,Single,Corporate Auto,Offer4,Web,Luxury SUV,Medsize,2,17,7
197,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Special Auto,Offer1,Branch,Four-Door Car,Medsize,2,16,7
198,Other,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Two-Door Car,Medsize,2,10,6
199,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,2,19,7
200,California,No,Premium,Master/Doctor,Other,F,Suburban,Single,Personal Auto,Offer1,Call Center,SUV,Medsize,1,21,3
201,Other,Yes,Extended,Bachelor,Other,F,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,2,27,8
202,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer2,Call Center,Four-Door Car,Medsize,2,4,5
203,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,1,18,3
204,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,2,3,5
205,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,SUV,Medsize,1,2,52
206,California,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,1,9,1
207,California,No,Premium,College,Employed,M,Suburban,Married,Corporate Auto,Offer1,Branch,SUV,Small,1,19,3
208,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,Offer2,Agent,SUV,Medsize,1,11,2
209,Other,No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,1,31,5
210,California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Agent,Two-Door Car,Small,1,11,2
211,California,Yes,Basic,College,Other,M,Suburban,Single,Special Auto,Offer1,Agent,Four-Door Car,Medsize,2,11,6
212,Other,No,Extended,College,Employed,M,Urban,Married,Corporate Auto,Offer2,Web,Two-Door Car,Small,1,22,3
